Date,PCODE,Country,Rainfall - (MM),Province,City,Year,Month,Quarter
1981/01/01,PK2,Pakistan,6,Balochistan,Balochistan,1981,January,Q3
1981/11/01,PK2,Pakistan,6,Balochistan,Balochistan,1981,January,Q3
1981/01/21,PK2,Pakistan,9,Balochistan,Balochistan,1981,January,Q3
1981/01/02,PK2,Pakistan,15,Balochistan,Balochistan,1981,February,Q3
1981/11/02,PK2,Pakistan,5,Balochistan,Balochistan,1981,February,Q3
1981/02/21,PK2,Pakistan,6,Balochistan,Balochistan,1981,February,Q3
1981/01/03,PK2,Pakistan,4,Balochistan,Balochistan,1981,March,Q3
1981/11/03,PK2,Pakistan,18,Balochistan,Balochistan,1981,March,Q3
1981/03/21,PK2,Pakistan,3,Balochistan,Balochistan,1981,March,Q3
1981/01/04,PK2,Pakistan,1,Balochistan,Balochistan,1981,April,Q4
1981/11/04,PK2,Pakistan,1,Balochistan,Balochistan,1981,April,Q4
1981/04/21,PK2,Pakistan,4,Balochistan,Balochistan,1981,April,Q4
1981/01/05,PK2,Pakistan,4,Balochistan,Balochistan,1981,May,Q4
1981/11/05,PK2,Pakistan,1,Balochistan,Balochistan,1981,May,Q4
1981/05/21,PK2,Pakistan,1,Balochistan,Balochistan,1981,May,Q4
1981/01/06,PK2,Pakistan,1,Balochistan,Balochistan,1981,June,Q4
1981/11/06,PK2,Pakistan,1,Balochistan,Balochistan,1981,June,Q4
1981/06/21,PK2,Pakistan,1,Balochistan,Balochistan,1981,June,Q4
1981/01/07,PK2,Pakistan,3,Balochistan,Balochistan,1981,July,Q1
1981/11/07,PK2,Pakistan,5,Balochistan,Balochistan,1981,July,Q1
1981/07/21,PK2,Pakistan,14,Balochistan,Balochistan,1981,July,Q1
1981/01/08,PK2,Pakistan,1,Balochistan,Balochistan,1981,August,Q1
1981/11/08,PK2,Pakistan,2,Balochistan,Balochistan,1981,August,Q1
1981/08/21,PK2,Pakistan,2,Balochistan,Balochistan,1981,August,Q1
1981/01/09,PK2,Pakistan,1,Balochistan,Balochistan,1981,September,Q1
1981/11/09,PK2,Pakistan,1,Balochistan,Balochistan,1981,September,Q1
1981/09/21,PK2,Pakistan,1,Balochistan,Balochistan,1981,September,Q1
1981/01/10,PK2,Pakistan,0,Balochistan,Balochistan,1981,October,Q2
1981/11/10,PK2,Pakistan,0,Balochistan,Balochistan,1981,October,Q2
1981/10/21,PK2,Pakistan,0,Balochistan,Balochistan,1981,October,Q2
1981/01/11,PK2,Pakistan,0,Balochistan,Balochistan,1981,November,Q2
1981/11/11,PK2,Pakistan,0,Balochistan,Balochistan,1981,November,Q2
1981/11/21,PK2,Pakistan,1,Balochistan,Balochistan,1981,November,Q2
1981/01/12,PK2,Pakistan,2,Balochistan,Balochistan,1981,December,Q2
1981/11/12,PK2,Pakistan,2,Balochistan,Balochistan,1981,December,Q2
1981/12/21,PK2,Pakistan,3,Balochistan,Balochistan,1981,December,Q2
1982/01/01,PK2,Pakistan,10,Balochistan,Balochistan,1982,January,Q3
1982/11/01,PK2,Pakistan,4,Balochistan,Balochistan,1982,January,Q3
1982/01/21,PK2,Pakistan,21,Balochistan,Balochistan,1982,January,Q3
1982/01/02,PK2,Pakistan,32,Balochistan,Balochistan,1982,February,Q3
1982/11/02,PK2,Pakistan,16,Balochistan,Balochistan,1982,February,Q3
1982/02/21,PK2,Pakistan,7,Balochistan,Balochistan,1982,February,Q3
1982/01/03,PK2,Pakistan,8,Balochistan,Balochistan,1982,March,Q3
1982/11/03,PK2,Pakistan,12,Balochistan,Balochistan,1982,March,Q3
1982/03/21,PK2,Pakistan,19,Balochistan,Balochistan,1982,March,Q3
1982/01/04,PK2,Pakistan,3,Balochistan,Balochistan,1982,April,Q4
1982/11/04,PK2,Pakistan,3,Balochistan,Balochistan,1982,April,Q4
1982/04/21,PK2,Pakistan,3,Balochistan,Balochistan,1982,April,Q4
1982/01/05,PK2,Pakistan,3,Balochistan,Balochistan,1982,May,Q4
1982/11/05,PK2,Pakistan,3,Balochistan,Balochistan,1982,May,Q4
1982/05/21,PK2,Pakistan,6,Balochistan,Balochistan,1982,May,Q4
1982/01/06,PK2,Pakistan,2,Balochistan,Balochistan,1982,June,Q4
1982/11/06,PK2,Pakistan,2,Balochistan,Balochistan,1982,June,Q4
1982/06/21,PK2,Pakistan,3,Balochistan,Balochistan,1982,June,Q4
1982/01/07,PK2,Pakistan,6,Balochistan,Balochistan,1982,July,Q1
1982/11/07,PK2,Pakistan,8,Balochistan,Balochistan,1982,July,Q1
1982/07/21,PK2,Pakistan,4,Balochistan,Balochistan,1982,July,Q1
1982/01/08,PK2,Pakistan,6,Balochistan,Balochistan,1982,August,Q1
1982/11/08,PK2,Pakistan,10,Balochistan,Balochistan,1982,August,Q1
1982/08/21,PK2,Pakistan,1,Balochistan,Balochistan,1982,August,Q1
1982/01/09,PK2,Pakistan,1,Balochistan,Balochistan,1982,September,Q1
1982/11/09,PK2,Pakistan,1,Balochistan,Balochistan,1982,September,Q1
1982/09/21,PK2,Pakistan,1,Balochistan,Balochistan,1982,September,Q1
1982/01/10,PK2,Pakistan,1,Balochistan,Balochistan,1982,October,Q2
1982/11/10,PK2,Pakistan,1,Balochistan,Balochistan,1982,October,Q2
1982/10/21,PK2,Pakistan,1,Balochistan,Balochistan,1982,October,Q2
1982/01/11,PK2,Pakistan,1,Balochistan,Balochistan,1982,November,Q2
1982/11/11,PK2,Pakistan,1,Balochistan,Balochistan,1982,November,Q2
1982/11/21,PK2,Pakistan,1,Balochistan,Balochistan,1982,November,Q2
1982/01/12,PK2,Pakistan,9,Balochistan,Balochistan,1982,December,Q2
1982/11/12,PK2,Pakistan,11,Balochistan,Balochistan,1982,December,Q2
1982/12/21,PK2,Pakistan,5,Balochistan,Balochistan,1982,December,Q2
1983/01/01,PK2,Pakistan,4,Balochistan,Balochistan,1983,January,Q3
1983/11/01,PK2,Pakistan,4,Balochistan,Balochistan,1983,January,Q3
1983/01/21,PK2,Pakistan,5,Balochistan,Balochistan,1983,January,Q3
1983/01/02,PK2,Pakistan,7,Balochistan,Balochistan,1983,February,Q3
1983/11/02,PK2,Pakistan,9,Balochistan,Balochistan,1983,February,Q3
1983/02/21,PK2,Pakistan,5,Balochistan,Balochistan,1983,February,Q3
1983/01/03,PK2,Pakistan,5,Balochistan,Balochistan,1983,March,Q3
1983/11/03,PK2,Pakistan,5,Balochistan,Balochistan,1983,March,Q3
1983/03/21,PK2,Pakistan,6,Balochistan,Balochistan,1983,March,Q3
1983/01/04,PK2,Pakistan,5,Balochistan,Balochistan,1983,April,Q4
1983/11/04,PK2,Pakistan,3,Balochistan,Balochistan,1983,April,Q4
1983/04/21,PK2,Pakistan,3,Balochistan,Balochistan,1983,April,Q4
1983/01/05,PK2,Pakistan,2,Balochistan,Balochistan,1983,May,Q4
1983/11/05,PK2,Pakistan,2,Balochistan,Balochistan,1983,May,Q4
1983/05/21,PK2,Pakistan,2,Balochistan,Balochistan,1983,May,Q4
1983/01/06,PK2,Pakistan,1,Balochistan,Balochistan,1983,June,Q4
1983/11/06,PK2,Pakistan,1,Balochistan,Balochistan,1983,June,Q4
1983/06/21,PK2,Pakistan,2,Balochistan,Balochistan,1983,June,Q4
1983/01/07,PK2,Pakistan,4,Balochistan,Balochistan,1983,July,Q1
1983/11/07,PK2,Pakistan,3,Balochistan,Balochistan,1983,July,Q1
1983/07/21,PK2,Pakistan,11,Balochistan,Balochistan,1983,July,Q1
1983/01/08,PK2,Pakistan,8,Balochistan,Balochistan,1983,August,Q1
1983/11/08,PK2,Pakistan,11,Balochistan,Balochistan,1983,August,Q1
1983/08/21,PK2,Pakistan,4,Balochistan,Balochistan,1983,August,Q1
1983/01/09,PK2,Pakistan,5,Balochistan,Balochistan,1983,September,Q1
1983/11/09,PK2,Pakistan,1,Balochistan,Balochistan,1983,September,Q1
1983/09/21,PK2,Pakistan,1,Balochistan,Balochistan,1983,September,Q1
1983/01/10,PK2,Pakistan,0,Balochistan,Balochistan,1983,October,Q2
1983/11/10,PK2,Pakistan,0,Balochistan,Balochistan,1983,October,Q2
1983/10/21,PK2,Pakistan,0,Balochistan,Balochistan,1983,October,Q2
1983/01/11,PK2,Pakistan,0,Balochistan,Balochistan,1983,November,Q2
1983/11/11,PK2,Pakistan,0,Balochistan,Balochistan,1983,November,Q2
1983/11/21,PK2,Pakistan,1,Balochistan,Balochistan,1983,November,Q2
1983/01/12,PK2,Pakistan,3,Balochistan,Balochistan,1983,December,Q2
1983/11/12,PK2,Pakistan,4,Balochistan,Balochistan,1983,December,Q2
1983/12/21,PK2,Pakistan,4,Balochistan,Balochistan,1983,December,Q2
1984/01/01,PK2,Pakistan,4,Balochistan,Balochistan,1984,January,Q3
1984/11/01,PK2,Pakistan,4,Balochistan,Balochistan,1984,January,Q3
1984/01/21,PK2,Pakistan,4,Balochistan,Balochistan,1984,January,Q3
1984/01/02,PK2,Pakistan,2,Balochistan,Balochistan,1984,February,Q3
1984/11/02,PK2,Pakistan,3,Balochistan,Balochistan,1984,February,Q3
1984/02/21,PK2,Pakistan,2,Balochistan,Balochistan,1984,February,Q3
1984/01/03,PK2,Pakistan,8,Balochistan,Balochistan,1984,March,Q3
1984/11/03,PK2,Pakistan,6,Balochistan,Balochistan,1984,March,Q3
1984/03/21,PK2,Pakistan,6,Balochistan,Balochistan,1984,March,Q3
1984/01/04,PK2,Pakistan,2,Balochistan,Balochistan,1984,April,Q4
1984/11/04,PK2,Pakistan,2,Balochistan,Balochistan,1984,April,Q4
1984/04/21,PK2,Pakistan,2,Balochistan,Balochistan,1984,April,Q4
1984/01/05,PK2,Pakistan,1,Balochistan,Balochistan,1984,May,Q4
1984/11/05,PK2,Pakistan,1,Balochistan,Balochistan,1984,May,Q4
1984/05/21,PK2,Pakistan,1,Balochistan,Balochistan,1984,May,Q4
1984/01/06,PK2,Pakistan,1,Balochistan,Balochistan,1984,June,Q4
1984/11/06,PK2,Pakistan,1,Balochistan,Balochistan,1984,June,Q4
1984/06/21,PK2,Pakistan,1,Balochistan,Balochistan,1984,June,Q4
1984/01/07,PK2,Pakistan,3,Balochistan,Balochistan,1984,July,Q1
1984/11/07,PK2,Pakistan,10,Balochistan,Balochistan,1984,July,Q1
1984/07/21,PK2,Pakistan,5,Balochistan,Balochistan,1984,July,Q1
1984/01/08,PK2,Pakistan,6,Balochistan,Balochistan,1984,August,Q1
1984/11/08,PK2,Pakistan,13,Balochistan,Balochistan,1984,August,Q1
1984/08/21,PK2,Pakistan,4,Balochistan,Balochistan,1984,August,Q1
1984/01/09,PK2,Pakistan,1,Balochistan,Balochistan,1984,September,Q1
1984/11/09,PK2,Pakistan,1,Balochistan,Balochistan,1984,September,Q1
1984/09/21,PK2,Pakistan,1,Balochistan,Balochistan,1984,September,Q1
1984/01/10,PK2,Pakistan,0,Balochistan,Balochistan,1984,October,Q2
1984/11/10,PK2,Pakistan,0,Balochistan,Balochistan,1984,October,Q2
1984/10/21,PK2,Pakistan,0,Balochistan,Balochistan,1984,October,Q2
1984/01/11,PK2,Pakistan,0,Balochistan,Balochistan,1984,November,Q2
1984/11/11,PK2,Pakistan,0,Balochistan,Balochistan,1984,November,Q2
1984/11/21,PK2,Pakistan,1,Balochistan,Balochistan,1984,November,Q2
1984/01/12,PK2,Pakistan,3,Balochistan,Balochistan,1984,December,Q2
1984/11/12,PK2,Pakistan,3,Balochistan,Balochistan,1984,December,Q2
1984/12/21,PK2,Pakistan,4,Balochistan,Balochistan,1984,December,Q2
1985/01/01,PK2,Pakistan,7,Balochistan,Balochistan,1985,January,Q3
1985/11/01,PK2,Pakistan,6,Balochistan,Balochistan,1985,January,Q3
1985/01/21,PK2,Pakistan,7,Balochistan,Balochistan,1985,January,Q3
1985/01/02,PK2,Pakistan,3,Balochistan,Balochistan,1985,February,Q3
1985/11/02,PK2,Pakistan,3,Balochistan,Balochistan,1985,February,Q3
1985/02/21,PK2,Pakistan,2,Balochistan,Balochistan,1985,February,Q3
1985/01/03,PK2,Pakistan,4,Balochistan,Balochistan,1985,March,Q3
1985/11/03,PK2,Pakistan,5,Balochistan,Balochistan,1985,March,Q3
1985/03/21,PK2,Pakistan,5,Balochistan,Balochistan,1985,March,Q3
1985/01/04,PK2,Pakistan,3,Balochistan,Balochistan,1985,April,Q4
1985/11/04,PK2,Pakistan,2,Balochistan,Balochistan,1985,April,Q4
1985/04/21,PK2,Pakistan,2,Balochistan,Balochistan,1985,April,Q4
1985/01/05,PK2,Pakistan,1,Balochistan,Balochistan,1985,May,Q4
1985/11/05,PK2,Pakistan,1,Balochistan,Balochistan,1985,May,Q4
1985/05/21,PK2,Pakistan,1,Balochistan,Balochistan,1985,May,Q4
1985/01/06,PK2,Pakistan,1,Balochistan,Balochistan,1985,June,Q4
1985/11/06,PK2,Pakistan,0,Balochistan,Balochistan,1985,June,Q4
1985/06/21,PK2,Pakistan,1,Balochistan,Balochistan,1985,June,Q4
1985/01/07,PK2,Pakistan,3,Balochistan,Balochistan,1985,July,Q1
1985/11/07,PK2,Pakistan,17,Balochistan,Balochistan,1985,July,Q1
1985/07/21,PK2,Pakistan,8,Balochistan,Balochistan,1985,July,Q1
1985/01/08,PK2,Pakistan,5,Balochistan,Balochistan,1985,August,Q1
1985/11/08,PK2,Pakistan,1,Balochistan,Balochistan,1985,August,Q1
1985/08/21,PK2,Pakistan,2,Balochistan,Balochistan,1985,August,Q1
